"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51345","test_nykaa_flow","tests","2026-05-20","passed","2026-05-20","TestNykaaE2E","nykaa_e2e_test","",""
"","37240","test_empty_address_fields","tests","2026-05-20","passed","2026-05-20","TestNykaaScenarios","all_tests","",""
"","35439","test_guest_checkout","tests","2026-05-20","passed","2026-05-20","TestNykaaScenarios","all_tests","",""
"","22974","test_open_cart","tests","2026-05-20","passed","2026-05-20","TestNykaaScenarios","all_tests","",""
"","75134","test_fill_address_form","tests","2026-05-20","passed","2026-05-20","TestNykaaScenarios","all_tests","",""
"","16754","test_add_product_to_cart","tests","2026-05-20","passed","2026-05-20","TestNykaaScenarios","all_tests","",""
"","47316","test_invalid_pincode","tests","2026-05-20","passed","2026-05-20","TestNykaaScenarios","all_tests","",""
